map_id,name,status,purpose,investor,country,capacity,energy,year,province,district,commune,size_scale,detail_status,eia_date,eia_status,reference,additional_references,last_update,language
1,Prek Liang II,Under study,Hydropower dam,KTC (Korea),Korea,64,Not found,2016,Ratanak Kiri,Ta Veng,Ta Veng Leu,Medium scale,"[14 December 2012] Under study:
[2003] Identified as potential hydropower project by MIME",Not found,Not found,Kac_kyung_an_cable__16.02.2015.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,http://www.kyungan.co.kr/eng/information/news.php?act=view&encData=aWR4PTExMyZzdGFydD0wJnNrZXk9JnNzdHI9JmNhdGU9,7-Jul-16,English
2,Prek Liang I,Under study,Hydropower dam,KTC (Korea),Korea,64,Not found,2016,Ratanak Kiri,Ta Veng,Ta Veng Leu,Large scale,"[14 December 2012] Under study;
[2003] Identified as potential hydropower project by MIME",Not found,Not found,Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,http://www.kyungan.co.kr/eng/information/news.php?act=view&encData=aWR4PTExMyZzdGFydD0wJnNrZXk9JnNzdHI9JmNhdGU9,7-Jul-16,English
3,Lower Sesan III,Under study,Hydropower dam,KTC (Korea),Korea,375,1977,2017,Ratanak Kiri,Veun Sai,Veun Sai,Large scale,[2009] MOU was signed,Not found,Not found,JICA_Data_Collection_Survey_on_Electric_Power_Sector_in_Cambodia_Final_Report__2012.pdf;EDC_Anual_Report_2014__00.00.2014.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,,1-Jun-15,English
4,Lower Sesan II,Under construction,Hydropower dam,"Royal Group, China Hydrolancang International Energy, EVN International Jo",Not found,400,"1,998",2016,Stung Treng,Sesan,Sre Kor,Large scale,"[March 2014] Construction began;
[2009-2011] MOU was signed",Dec 2009;Oct 2008,Not found,Earthrights_international_lower_sesan2_16.02.2015.docx;Mekong_watch_lower_sesan2_16.02.2015.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf;List_of_EIAs_NGOF__09.11.2014.pdf;list-of-eias-on-september-2013,"http://www.mekongwatch.org/english/country/cambodia/LS2/index.html
https://drive.google.com/#folders/0BzwnlfBMaV_aSi1ianpaaUo2M3M",1-Jun-15,English
5,Lower Srepok II,Under study,Hydropower dam,China Huandian Corporation,Not found,222,1174,2018,Stung Treng,Sesan,Kbal Romeas,Large scale,[September 2005] Planned for operation in 2017,Not found,Not found,JICA_Data_Collection_Survey_on_Electric_Power_Sector_in_Cambodia_Final_Report__2012.pdf;EDC_Anual_Report_2014__00.00.2014.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,http://en.wikipedia.org/wiki/Lower_Sre_Pok_2_Dam,7-Jul-16,English
6,Lower Srepok III,Under study,Hydropower dam,"Huadian Corporation, Guangxi Guiguan Electric Power Co. Ltd",China,330,1154,2018,Ratanak Kiri,Lumphat,Chey Oddam,Large scale,"[November 2010] MOU was signed with Huadian Corporation;
[June 2008] MOU was signed with Guangxi Guiguan Electri Power Co. Ltd.",Not found,Not found,EDC_Anual_Report_2014__00.00.2014.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,http://decarboni.se/publications/3s-rivers-under-threat-understating-new-threats-and-challenges-hydropower-development-biodiversity-and-community-rights-3s-river-basin/24-lower-srepok-3-and-4,7-Jul-16,English
7,Lower Srepok IV,Under study,Hydropower dam,"Huadian Corporation, Guangxi Guiguan Electric Power Co. Ltd",China,48,Not found,,Ratanak Kiri,Ou Ya Dav,Pate,Large scale,"[November 2010] MOU was singed with Huadian Corporation;
[June 2008] MOU was singed with Guangxi Guiguan Electri Power Co. Ltd.",Not found,Not found,Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,http://decarboni.se/publications/3s-rivers-under-threat-understating-new-threats-and-challenges-hydropower-development-biodiversity-and-community-rights-3s-river-basin/24-lower-srepok-3-and-4,1-Jun-15,English
8,Stung Treng,Under study,Hydropower dam,Open Joint Stock Co.Bureyagessttroy/Regional Oil company (Russia),Viet nam,980,Not found,2018,Stung Treng,Stung Treng,Samaky,Large scale,[2009 - 2011] MOU was signed,Not found,Not found,JICA_Data_Collection_Survey_on_Electric_Power_Sector_in_Cambodia_Final_Report__2012.pdf;EDC_Anual_Report_2014__00.00.2014.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,sithi.org/landissue/db/0909_Table_Hydro%20Dams%20Approved.pdf,7-Jul-16,English
9,Sambor,Under study,Hydropower dam,China Southern Power Grid,China,2600,Not found,2019,Kratie,Sambor,Sambor,Large scale,[2006 - 2011] MOU was signed with China Southern Power Grid,Not found,Not found,EDC_Anual_Report_2014__00.00.2014.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,http://www.voacambodia.com/content/proposed-dam-a-mystery-concern-to-kratie-locals-103168414/1354667.html,7-Jul-16,English
10,Prek Chhlong II,Under study,Hydropower dam,Not found,Singapore,25,Not found,,Kratie,Snuol,Svay Chreah,Medium scale,"[Not found] MOU was singed;
[2003] Identified as potential hydropower project by MIME",Not found,Not found,Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,,22-Jun-15,English
